Dato Indkoeb;Startdato abonnement;Slutdato abonnement;Bilmaerke;Indkoebspris;Braendstof;Koert Km ved abonnemt start;Abonnement  Km koert;Aftalt kontraktabonnment KM;Abonnementsperiode;abonnement pris pr maaned;Udleveringssted;Abonnement Varighed (År)
10. juni 2021;25. december 2022;25. december 2024;Chevrolet;190000;Benzin;14815;19400;18000;12;4000;Copenhagen;2,00
23. juli 2022;14. september 2022;14. september 2023;Kia;330000;Elektrisk;21532;46566;18000;12;4500;Copenhagen;1,00
29. juli 2022;18. juni 2023;18. juni 2024;Volvo;680000;Elektrisk;19755;37599;18000;12;5000;Copenhagen;1,00
24. januar 2023;21. december 2023;21. december 2024;Land Rover;1400000;Diesel;15899;19469;18000;12;6500;Copenhagen;1,00
7. juni 2022;19. august 2022;19. august 2023;Porsche Panamera;1609000;Benzin;19404;22861;18000;12;9500;Copenhagen;1,00
16. december 2022;16. december 2022;16. december 2023;BMW;617057;Diesel;26185;45834;18000;12;4365;Kolding;1,00
13. september 2023;13. september 2023;13. september 2024;BMW;289183;hybrid;21808;27395;18000;12;4831;Aarhus;1,00
10. november 2023;10. november 2023;10. november 2024;Kia;445246;Elektrisk;21556;54666;18000;12;7373;Aarhus;1,00
9. maj 2023;9. maj 2023;9. maj 2024;Tesla;875167;Elektrisk;20243;24790;18000;12;4207;Aarhus;1,00
2. juli 2023;2. juli 2023;2. juli 2024;Land Rover;1526336;Benzin;15260;24406;18000;12;6197;Aarhus;1,00
14. juli 2022;14. juli 2022;14. juli 2023;Hyundai;711984;Diesel;10153;15489;18000;12;7689;Kolding;1,00
10. august 2023;10. august 2023;10. august 2024;Porsche Panamera;1123540;Benzin;10323;20592;18000;12;4246;Copenhagen;1,00
13. marts 2022;13. marts 2022;13. marts 2023;Tesla;822043;Elektrisk;16384;21015;18000;12;6570;Copenhagen;1,00
14. januar 2023;14. januar 2023;14. januar 2024;Porsche Panamera;1400523;Benzin;27715;45322;18000;12;5832;Kolding;1,00
28. august 2022;28. august 2022;28. august 2023;Ford;939352;Elektrisk;15076;20250;18000;12;7264;Kolding;1,00
6. juni 2022;29. december 2022;29. december 2024;Mitsubishi;350000;Benzin;16912;29169;36000;24;4000;Kolding;2,00
19. april 2022;30. juli 2022;30. juli 2024;Volkswagen ID3;400000;Elektrisk;15530;27355;36000;24;4800;Aarhus;2,00
10. juni 2020;6. februar 2022;6. februar 2024;Renault;540000;Benzin;19817;26689;36000;24;5000;Kolding;2,00
3. april 2021;3. februar 2022;3. februar 2024;Land Rover;657900;Diesel;20967;26017;36000;24;5000;Copenhagen;2,00
19. juni 2022;3. december 2022;3. december 2024;Smart;680000;Benzin;31765;77765;36000;24;5200;Copenhagen;2,00
31. marts 2022;7. januar 2022;7. januar 2024;BMW IX3 ;790000;Elektrisk;33161;69161;36000;24;5300;Copenhagen;2,00
28. april 2021;15. juli 2022;15. juli 2024;BMW IX;799000;Elektrisk;21170;24083;36000;24;5500;Copenhagen;2,00
13. marts 2021;25. juli 2021;25. juli 2024;Porsche Taycan;1690000;Elektrisk;19224;67555;36000;24;10000;Aarhus;3,00
8. juni 2021;31. juli 2021;31. juli 2024;Volkswagen;250000;Diesel;28460;45218;54000;36;3000;Aarhus;3,00
24. januar 2021;15. februar 2021;15. februar 2024;Ford;356454;hybrid;30079;54634;54000;36;5000;Aarhus;3,00
26. december 2020;25. juni 2021;25. juni 2024;Volvo;457000;Hybrid;19991;97144;54000;36;4000;Aarhus;3,00
30. september 2019;21. november 2021;21. november 2024;Kia;860000;Benzin;30092;43762;54000;36;7800;Aarhus;3,00
2. januar 2021;20. april 2021;20. april 2024;Jaguar;780000;Diesel;22540;44433;54000;36;5000;Aarhus;3,00
2. januar 2021;13. juni 2021;13. juni 2024;Tesla Model X;1203433;Elektrisk;26553;89755;54000;36;8000;Aarhus;3,00
